Curso;Dia;Dia semana;Tipo
;14/04/2013;D;FDS
dic-13;15/04/2013;L;
dic-13;16/04/2013;M;
dic-13;17/04/2013;X;
dic-13;18/04/2013;J;
dic-13;19/04/2013;V;
;20/04/2013;S;FDS
;21/04/2013;D;FDS
dic-13;22/04/2013;L;
dic-13;23/04/2013;M;
dic-13;24/04/2013;X;
dic-13;25/04/2013;J;
dic-13;26/04/2013;V;
;27/04/2013;S;FDS
;28/04/2013;D;FDS
dic-13;29/04/2013;L;
dic-13;30/04/2013;M;
;01/05/2013;X;FEST
;02/05/2013;J;FEST
;03/05/2013;V;NL
;04/05/2013;S;FDS
;05/05/2013;D;FDS
dic-13;06/05/2013;L;
dic-13;07/05/2013;M;
dic-13;08/05/2013;X;
;09/05/2013;J;SD
dic-13;10/05/2013;V;
;11/05/2013;S;FDS
;12/05/2013;D;FDS
dic-13;13/05/2013;L;
dic-13;14/05/2013;M;
dic-13;15/05/2013;X;
dic-13;16/05/2013;J;
dic-13;17/05/2013;V;
;18/05/2013;S;FDS
;19/05/2013;D;FDS
dic-13;20/05/2013;L;
dic-13;21/05/2013;M;
dic-13;22/05/2013;X;
dic-13;23/05/2013;J;
dic-13;24/05/2013;V;
;25/05/2013;S;FDS
;26/05/2013;D;FDS
dic-13;27/05/2013;L;
dic-13;28/05/2013;M;
dic-13;29/05/2013;X;
dic-13;30/05/2013;J;
dic-13;31/05/2013;V;
;01/06/2013;S;FDS
;02/06/2013;D;FDS
dic-13;03/06/2013;L;
dic-13;04/06/2013;M;
dic-13;05/06/2013;X;
dic-13;06/06/2013;J;
dic-13;07/06/2013;V;
;08/06/2013;S;FDS
;09/06/2013;D;FDS
dic-13;10/06/2013;L;
dic-13;11/06/2013;M;
dic-13;12/06/2013;X;
dic-13;13/06/2013;J;
dic-13;14/06/2013;V;
;15/06/2013;S;FDS
;16/06/2013;D;FDS
dic-13;17/06/2013;L;
dic-13;18/06/2013;M;
dic-13;19/06/2013;X;
dic-13;20/06/2013;J;
dic-13;21/06/2013;V;
;22/06/2013;S;FDS
;23/06/2013;D;FDS
dic-13;24/06/2013;L;
dic-13;25/06/2013;M;VISP VAC
;26/06/2013;X;VAC
;27/06/2013;J;VAC
;28/06/2013;V;VAC
;29/06/2013;S;FDS
;30/06/2013;D;FDS
;01/07/2013;L;VAC
;02/07/2013;M;VAC
;03/07/2013;X;VAC
;04/07/2013;J;VAC
;05/07/2013;V;VAC
;06/07/2013;S;FDS
;07/07/2013;D;FDS
;08/07/2013;L;VAC
;09/07/2013;M;VAC
;10/07/2013;X;VAC
;11/07/2013;J;VAC
;12/07/2013;V;VAC
;13/07/2013;S;FDS
;14/07/2013;D;FDS
;15/07/2013;L;VAC
;16/07/2013;M;VAC
;17/07/2013;X;VAC
;18/07/2013;J;VAC
;19/07/2013;V;VAC
;20/07/2013;S;FDS
;21/07/2013;D;FDS
;22/07/2013;L;VAC
;23/07/2013;M;VAC
;24/07/2013;X;VAC
