Curso;Dia;Dia semana;Tipo
;27/05/2015;X;SD
;28/05/2015;J;SD
;29/05/2015;V;SD
;30/05/2015;S;FDS
;31/05/2015;D;FDS
;01/06/2015;L;SD
;02/06/2015;M;SD
;03/06/2015;X;SD
;04/06/2015;J;SD
;05/06/2015;V;SD
;06/06/2015;S;FDS
;07/06/2015;D;FDS
;08/06/2015;L;SD
;09/06/2015;M;SD
;10/06/2015;X;SD
;11/06/2015;J;SD
;12/06/2015;V;SD
;13/06/2015;S;FDS
;14/06/2015;D;FDS
;15/06/2015;L;SD
;16/06/2015;M;SD
;17/06/2015;X;SD
;18/06/2015;J;SD
;19/06/2015;V;SD
;20/06/2015;S;FDS
;21/06/2015;D;FDS
;22/06/2015;L;SD
;23/06/2015;M;SD
;24/06/2015;X;SD
;25/06/2015;J;SD
;26/06/2015;V;SD
;27/06/2015;S;FDS
;28/06/2015;D;FDS
;29/06/2015;L;SD
;30/06/2015;M;SD
;01/07/2015;X;VAC
;02/07/2015;J;VAC
;03/07/2015;V;VAC
;04/07/2015;S;FDS
;05/07/2015;D;FDS
;06/07/2015;L;VAC
;07/07/2015;M;VAC
;08/07/2015;X;VAC
;09/07/2015;J;VAC
;10/07/2015;V;VAC
;11/07/2015;S;FDS
;12/07/2015;D;FDS
;13/07/2015;L;VAC
;14/07/2015;M;VAC
;15/07/2015;X;VAC
;16/07/2015;J;VAC
;17/07/2015;V;
;18/07/2015;S;FDS
;19/07/2015;D;FDS
;20/07/2015;L;
;21/07/2015;M;
;22/07/2015;X;
;23/07/2015;J;
;24/07/2015;V;
;25/07/2015;S;FDS
;26/07/2015;D;FDS
;27/07/2015;L;
;28/07/2015;M;
;29/07/2015;X;
;30/07/2015;J;
;31/07/2015;V;
;01/08/2015;S;FDS
;02/08/2015;D;FDS
;03/08/2015;L;
;04/08/2015;M;
;05/08/2015;X;
;06/08/2015;J;
;07/08/2015;V;
;08/08/2015;S;FDS
;09/08/2015;D;FDS
;10/08/2015;L;
;11/08/2015;M;
;12/08/2015;X;
;13/08/2015;J;
;14/08/2015;V;
;15/08/2015;S;FDS
;16/08/2015;D;FDS
;17/08/2015;L;
;18/08/2015;M;
;19/08/2015;X;
;20/08/2015;J;
;21/08/2015;V;
;22/08/2015;S;FDS
;23/08/2015;D;FDS
;24/08/2015;L;
;25/08/2015;M;
;26/08/2015;X;
;27/08/2015;J;
;28/08/2015;V;
;29/08/2015;S;FDS
;30/08/2015;D;FDS
;31/08/2015;L;
;01/09/2015;M;
;02/09/2015;X;
;03/09/2015;J;
;04/09/2015;V;
;05/09/2015;S;FDS
;06/09/2015;D;FDS
;07/09/2015;L;
;08/09/2015;M;
15/16;09/09/2015;X;VUELTA VAC
15/16;10/09/2015;J;
15/16;11/09/2015;V;
;12/09/2015;S;FDS
;13/09/2015;D;FDS
15/16;14/09/2015;L;
15/16;15/09/2015;M;
15/16;16/09/2015;X;
15/16;17/09/2015;J;
15/16;18/09/2015;V;
;19/09/2015;S;FDS
;20/09/2015;D;FDS
15/16;21/09/2015;L;
15/16;22/09/2015;M;
15/16;23/09/2015;X;
15/16;24/09/2015;J;
15/16;25/09/2015;V;
;26/09/2015;S;FDS
;27/09/2015;D;FDS
15/16;28/09/2015;L;
15/16;29/09/2015;M;
15/16;30/09/2015;X;
15/16;01/10/2015;J;
15/16;02/10/2015;V;
;03/10/2015;S;FDS
;04/10/2015;D;FDS
15/16;05/10/2015;L;
15/16;06/10/2015;M;
15/16;07/10/2015;X;
15/16;08/10/2015;J;
15/16;09/10/2015;V;
;10/10/2015;S;FDS
;11/10/2015;D;FDS
;12/10/2015;L;FEST
15/16;13/10/2015;M;
15/16;14/10/2015;X;
15/16;15/10/2015;J;
15/16;16/10/2015;V;
;17/10/2015;S;FDS
;18/10/2015;D;FDS
15/16;19/10/2015;L;
15/16;20/10/2015;M;
;21/10/2015;X;SD
15/16;22/10/2015;J;
15/16;23/10/2015;V;
;24/10/2015;S;FDS
;25/10/2015;D;FDS
15/16;26/10/2015;L;
15/16;27/10/2015;M;
15/16;28/10/2015;X;
15/16;29/10/2015;J;
15/16;30/10/2015;V;
;31/10/2015;S;FDS
;01/11/2015;D;FDS
;02/11/2015;L;NL
15/16;03/11/2015;M;
15/16;04/11/2015;X;
15/16;05/11/2015;J;
15/16;06/11/2015;V;
;07/11/2015;S;FDS
;08/11/2015;D;FDS
15/16;09/11/2015;L;
15/16;10/11/2015;M;
15/16;11/11/2015;X;
15/16;12/11/2015;J;
;13/11/2015;V;SD
;14/11/2015;S;FDS
;15/11/2015;D;FDS
15/16;16/11/2015;L;
15/16;17/11/2015;M;
;18/11/2015;X;SD
;19/11/2015;J;SD
15/16;20/11/2015;V;
;21/11/2015;S;FDS
;22/11/2015;D;FDS
15/16;23/11/2015;L;
15/16;24/11/2015;M;
15/16;25/11/2015;X;
15/16;26/11/2015;J;
15/16;27/11/2015;V;
;28/11/2015;S;FDS
;29/11/2015;D;FDS
15/16;30/11/2015;L;
15/16;01/12/2015;M;
15/16;02/12/2015;X;
15/16;03/12/2015;J;
15/16;04/12/2015;V;
;05/12/2015;S;FDS
;06/12/2015;D;FDS
;07/12/2015;L;NL
;08/12/2015;M;FEST
15/16;09/12/2015;X;
15/16;10/12/2015;J;
15/16;11/12/2015;V;
;12/12/2015;S;FDS
;13/12/2015;D;FDS
15/16;14/12/2015;L;
15/16;15/12/2015;M;
15/16;16/12/2015;X;
15/16;17/12/2015;J;
15/16;18/12/2015;V;VISP VAC
;19/12/2015;S;FDS
;20/12/2015;D;FDS
;21/12/2015;L;VAC
;22/12/2015;M;VAC
;23/12/2015;X;VAC
;24/12/2015;J;VAC
;25/12/2015;V;VAC
;26/12/2015;S;FDS
;27/12/2015;D;FDS
;28/12/2015;L;VAC
;29/12/2015;M;VAC
;30/12/2015;X;VAC
;31/12/2015;J;VAC
;01/01/2016;V;VAC
;02/01/2016;S;FDS
;03/01/2016;D;FDS
;04/01/2016;L;VAC
;05/01/2016;M;VAC
;06/01/2016;X;VAC
;07/01/2016;J;VAC
15/16;08/01/2016;V;VUELTA VAC
;09/01/2016;S;FDS
;10/01/2016;D;FDS
15/16;11/01/2016;L;
15/16;12/01/2016;M;
15/16;13/01/2016;X;
15/16;14/01/2016;J;
15/16;15/01/2016;V;
;16/01/2016;S;FDS
;17/01/2016;D;FDS
15/16;18/01/2016;L;
15/16;19/01/2016;M;
15/16;20/01/2016;X;
15/16;21/01/2016;J;
15/16;22/01/2016;V;
;23/01/2016;S;FDS
;24/01/2016;D;FDS
15/16;25/01/2016;L;
15/16;26/01/2016;M;
15/16;27/01/2016;X;
15/16;28/01/2016;J;
15/16;29/01/2016;V;
;30/01/2016;S;FDS
;31/01/2016;D;FDS
15/16;01/02/2016;L;
15/16;02/02/2016;M;
15/16;03/02/2016;X;
15/16;04/02/2016;J;
15/16;05/02/2016;V;
;06/02/2016;S;FDS
;07/02/2016;D;FDS
;08/02/2016;L;NL
15/16;09/02/2016;M;
;10/02/2016;X;SD
15/16;11/02/2016;J;
;12/02/2016;V;SD
;13/02/2016;S;FDS
;14/02/2016;D;FDS
;15/02/2016;L;SD
15/16;16/02/2016;M;
15/16;17/02/2016;X;
15/16;18/02/2016;J;
;19/02/2016;V;SD
;20/02/2016;S;FDS
;21/02/2016;D;FDS
15/16;22/02/2016;L;
15/16;23/02/2016;M;
15/16;24/02/2016;X;
15/16;25/02/2016;J;
15/16;26/02/2016;V;
;27/02/2016;S;FDS
;28/02/2016;D;FDS
;29/02/2016;L;SD
;01/03/2016;M;SD
;02/03/2016;X;SD
15/16;03/03/2016;J;
;04/03/2016;V;SD
;05/03/2016;S;FDS
;06/03/2016;D;FDS
15/16;07/03/2016;L;
15/16;08/03/2016;M;
15/16;09/03/2016;X;
15/16;10/03/2016;J;
15/16;11/03/2016;V;
;12/03/2016;S;FDS
;13/03/2016;D;FDS
15/16;14/03/2016;L;
15/16;15/03/2016;M;
15/16;16/03/2016;X;
15/16;17/03/2016;J;VISP VAC
;18/03/2016;V;VAC
;19/03/2016;S;FDS
;20/03/2016;D;FDS
;21/03/2016;L;VAC
;22/03/2016;M;VAC
;23/03/2016;X;VAC
;24/03/2016;J;VAC
;25/03/2016;V;VAC
;26/03/2016;S;FDS
;27/03/2016;D;FDS
;28/03/2016;L;VAC
;29/03/2016;M;VAC
15/16;30/03/2016;X;VUELTA VAC
15/16;31/03/2016;J;
15/16;01/04/2016;V;
;02/04/2016;S;FDS
;03/04/2016;D;FDS
15/16;04/04/2016;L;
15/16;05/04/2016;M;
15/16;06/04/2016;X;
15/16;07/04/2016;J;
15/16;08/04/2016;V;
;09/04/2016;S;FDS
;10/04/2016;D;FDS
15/16;11/04/2016;L;
15/16;12/04/2016;M;
15/16;13/04/2016;X;
15/16;14/04/2016;J;
;15/04/2016;V;SD
;16/04/2016;S;FDS
;17/04/2016;D;FDS
15/16;18/04/2016;L;
15/16;19/04/2016;M;
15/16;20/04/2016;X;
;21/04/2016;J;SD
;22/04/2016;V;SD
;23/04/2016;S;FDS
;24/04/2016;D;FDS
;25/04/2016;L;SD
15/16;26/04/2016;M;
15/16;27/04/2016;X;
;28/04/2016;J;SD
;29/04/2016;V;SD
;30/04/2016;S;FDS
;01/05/2016;D;FDS
;02/05/2016;L;FEST
15/16;03/05/2016;M;
;04/05/2016;X;SD
;05/05/2016;J;SD
;06/05/2016;V;SD
15/16;07/05/2016;S;FDS
;08/05/2016;D;FDS
;09/05/2016;L;SD
15/16;10/05/2016;M;
15/16;11/05/2016;X;
;12/05/2016;J;SD
15/16;13/05/2016;V;
;14/05/2016;S;FDS
;15/05/2016;D;FDS
15/16;16/05/2016;L;
15/16;17/05/2016;M;
15/16;18/05/2016;X;
15/16;19/05/2016;J;
15/16;20/05/2016;V;
;21/05/2016;S;FDS
;22/05/2016;D;FDS
;23/05/2016;L;SD
;24/05/2016;M;SD
;25/05/2016;X;SD
;26/05/2016;J;SD
;27/05/2016;V;SD
;28/05/2016;S;FDS
;29/05/2016;D;FDS
;30/05/2016;L;SD
15/16;31/05/2016;M;
;01/06/2016;X;SD
15/16;02/06/2016;J;
;03/06/2016;V;SD
;04/06/2016;S;FDS
;05/06/2016;D;FDS
15/16;06/06/2016;L;
15/16;07/06/2016;M;
15/16;08/06/2016;X;
15/16;09/06/2016;J;
;10/06/2016;V;SD
;11/06/2016;S;FDS
;12/06/2016;D;FDS
;13/06/2016;L;SD
15/16;14/06/2016;M;
;15/06/2016;X;SD
;16/06/2016;J;SD
;17/06/2016;V;SD
;18/06/2016;S;FDS
;19/06/2016;D;FDS
;20/06/2016;L;SD
;21/06/2016;M;SD
;22/06/2016;X;VAC
;23/06/2016;J;VAC
;24/06/2016;V;VAC
;25/06/2016;S;FDS
;26/06/2016;D;FDS
;27/06/2016;L;VAC
;28/06/2016;M;VAC
;29/06/2016;X;
;30/06/2016;J;
;01/07/2016;V;
;02/07/2016;S;FDS
;03/07/2016;D;FDS
;04/07/2016;L;
;05/07/2016;M;
;06/07/2016;X;
;07/07/2016;J;
;08/07/2016;V;
;09/07/2016;S;FDS
;10/07/2016;D;FDS
;11/07/2016;L;
;12/07/2016;M;
;13/07/2016;X;
;14/07/2016;J;
;15/07/2016;V;
;16/07/2016;S;FDS
;17/07/2016;D;FDS
;18/07/2016;L;
;19/07/2016;M;
;20/07/2016;X;
;21/07/2016;J;
;22/07/2016;V;
;23/07/2016;S;FDS
;24/07/2016;D;FDS
;25/07/2016;L;
;26/07/2016;M;
;27/07/2016;X;
;28/07/2016;J;
;29/07/2016;V;
;30/07/2016;S;FDS
;31/07/2016;D;FDS
;01/08/2016;L;
;02/08/2016;M;
;03/08/2016;X;
;04/08/2016;J;
;05/08/2016;V;
;06/08/2016;S;FDS
;07/08/2016;D;FDS
;08/08/2016;L;
;09/08/2016;M;
;10/08/2016;X;
;11/08/2016;J;
;12/08/2016;V;
;13/08/2016;S;FDS
;14/08/2016;D;FDS
;15/08/2016;L;
;16/08/2016;M;
;17/08/2016;X;
;18/08/2016;J;
;19/08/2016;V;
;20/08/2016;S;FDS
;21/08/2016;D;FDS
;22/08/2016;L;
;23/08/2016;M;
;24/08/2016;X;
;25/08/2016;J;
;26/08/2016;V;
;27/08/2016;S;FDS
;28/08/2016;D;FDS
;29/08/2016;L;
;30/08/2016;M;
;31/08/2016;X;
;01/09/2016;J;
;02/09/2016;V;
;03/09/2016;S;FDS
;04/09/2016;D;FDS
;05/09/2016;L;VAC
;06/09/2016;M;VAC
;07/09/2016;X;VAC
;08/09/2016;J;VAC
;09/09/2016;V;SD
;10/09/2016;S;FDS
;11/09/2016;D;FDS
16/17;12/09/2016;L;SD
;13/09/2016;M;SD
;14/09/2016;X;SD
;15/09/2016;J;SD
16/17;16/09/2016;V;
;17/09/2016;S;FDS
;18/09/2016;D;FDS
16/17;19/09/2016;L;
16/17;20/09/2016;M;
16/17;21/09/2016;X;
16/17;22/09/2016;J;
16/17;23/09/2016;V;
;24/09/2016;S;FDS
;25/09/2016;D;FDS
16/17;26/09/2016;L;
16/17;27/09/2016;M;
16/17;28/09/2016;X;
16/17;29/09/2016;J;
16/17;30/09/2016;V;
;01/10/2016;S;FDS
;02/10/2016;D;FDS
16/17;03/10/2016;L;
16/17;04/10/2016;M;
16/17;05/10/2016;X;
16/17;06/10/2016;J;
16/17;07/10/2016;V;
;08/10/2016;S;FDS
;09/10/2016;D;FDS
16/17;10/10/2016;L;
16/17;11/10/2016;M;
;12/10/2016;X;FEST
16/17;13/10/2016;J;
16/17;14/10/2016;V;
;15/10/2016;S;FDS
;16/10/2016;D;FDS
16/17;17/10/2016;L;
16/17;18/10/2016;M;
;19/10/2016;X;SD
;20/10/2016;J;SD
16/17;21/10/2016;V;
;22/10/2016;S;FDS
;23/10/2016;D;FDS
;24/10/2016;L;SD
;25/10/2016;M;SD
;26/10/2016;X;SD
16/17;27/10/2016;J;
16/17;28/10/2016;V;
;29/10/2016;S;FDS
;30/10/2016;D;FDS
;31/10/2016;L;NL
;01/11/2016;M;FEST
;02/11/2016;X;SD
16/17;03/11/2016;J;
16/17;04/11/2016;V;
;05/11/2016;S;FDS
;06/11/2016;D;FDS
16/17;07/11/2016;L;
16/17;08/11/2016;M;
16/17;09/11/2016;X;
16/17;10/11/2016;J;
16/17;11/11/2016;V;
;12/11/2016;S;FDS
;13/11/2016;D;FDS
16/17;14/11/2016;L;
16/17;15/11/2016;M;
16/17;16/11/2016;X;
16/17;17/11/2016;J;
16/17;18/11/2016;V;
;19/11/2016;S;FDS
;20/11/2016;D;FDS
16/17;21/11/2016;L;
16/17;22/11/2016;M;
16/17;23/11/2016;X;
16/17;24/11/2016;J;
;25/11/2016;V;SD
;26/11/2016;S;FDS
;27/11/2016;D;FDS
16/17;28/11/2016;L;
16/17;29/11/2016;M;
16/17;30/11/2016;X;
16/17;01/12/2016;J;
16/17;02/12/2016;V;
;03/12/2016;S;FDS
;04/12/2016;D;FDS
16/17;05/12/2016;L;
;06/12/2016;M;FEST
16/17;07/12/2016;X;
;08/12/2016;J;FEST
;09/12/2016;V;NL
;10/12/2016;S;FDS
;11/12/2016;D;FDS
16/17;12/12/2016;L;
16/17;13/12/2016;M;
16/17;14/12/2016;X;
16/17;15/12/2016;J;
16/17;16/12/2016;V;
;17/12/2016;S;FDS
;18/12/2016;D;FDS
16/17;19/12/2016;L;
16/17;20/12/2016;M;
16/17;21/12/2016;X;
;22/12/2016;J;SD
;23/12/2016;V;VAC
;24/12/2016;S;FDS
;25/12/2016;D;FDS
;26/12/2016;L;VAC
;27/12/2016;M;VAC
;28/12/2016;X;VAC
;29/12/2016;J;VAC
;30/12/2016;V;VAC
;31/12/2016;S;FDS
;01/01/2017;D;FDS
;02/01/2017;L;
;03/01/2017;M;
;04/01/2017;X;
;05/01/2017;J;
;06/01/2017;V;
;07/01/2017;S;FDS
;08/01/2017;D;FDS
16/17;09/01/2017;L;VUELTA VAC
16/17;10/01/2017;M;
16/17;11/01/2017;X;
16/17;12/01/2017;J;
16/17;13/01/2017;V;
;14/01/2017;S;FDS
;15/01/2017;D;FDS
16/17;16/01/2017;L;
16/17;17/01/2017;M;
16/17;18/01/2017;X;
16/17;19/01/2017;J;
16/17;20/01/2017;V;
;21/01/2017;S;FDS
;22/01/2017;D;FDS
16/17;23/01/2017;L;
16/17;24/01/2017;M;
16/17;25/01/2017;X;
16/17;26/01/2017;J;
16/17;27/01/2017;V;
;28/01/2017;S;FDS
;29/01/2017;D;FDS
16/17;30/01/2017;L;
16/17;31/01/2017;M;
;01/02/2017;X;SD
;02/02/2017;J;SD
16/17;03/02/2017;V;
;04/02/2017;S;FDS
;05/02/2017;D;FDS
16/17;06/02/2017;L;
16/17;07/02/2017;M;
16/17;08/02/2017;X;
16/17;09/02/2017;J;
16/17;10/02/2017;V;
;11/02/2017;S;FDS
;12/02/2017;D;FDS
16/17;13/02/2017;L;
16/17;14/02/2017;M;
16/17;15/02/2017;X;
16/17;16/02/2017;J;
;17/02/2017;V;NL
;18/02/2017;S;FDS
;19/02/2017;D;FDS
16/17;20/02/2017;L;
;21/02/2017;M;SD
16/17;22/02/2017;X;
16/17;23/02/2017;J;
;24/02/2017;V;SD
;25/02/2017;S;FDS
;26/02/2017;D;FDS
16/17;27/02/2017;L;
16/17;28/02/2017;M;
;01/03/2017;X;SD
16/17;02/03/2017;J;
16/17;03/03/2017;V;
;04/03/2017;S;FDS
;05/03/2017;D;FDS
16/17;06/03/2017;L;
16/17;07/03/2017;M;
16/17;08/03/2017;X;
16/17;09/03/2017;J;
16/17;10/03/2017;V;
;11/03/2017;S;FDS
;12/03/2017;D;FDS
16/17;13/03/2017;L;
16/17;14/03/2017;M;
16/17;15/03/2017;X;
16/17;16/03/2017;J;
;17/03/2017;V;NL
;18/03/2017;S;FDS
;19/03/2017;D;FDS
;20/03/2017;L;FEST
16/17;21/03/2017;M;
16/17;22/03/2017;X;
16/17;23/03/2017;J;
16/17;24/03/2017;V;
;25/03/2017;S;FDS
;26/03/2017;D;FDS
16/17;27/03/2017;L;
16/17;28/03/2017;M;
16/17;29/03/2017;X;
16/17;30/03/2017;J;
16/17;31/03/2017;V;
;01/04/2017;S;FDS
;02/04/2017;D;FDS
16/17;03/04/2017;L;
16/17;04/04/2017;M;
16/17;05/04/2017;X;
;06/04/2017;J;SD
;07/04/2017;V;VAC
;08/04/2017;S;FDS
;09/04/2017;D;FDS
;10/04/2017;L;VAC
;11/04/2017;M;VAC
;12/04/2017;X;VAC
;13/04/2017;J;VAC
;14/04/2017;V;VAC
;15/04/2017;S;FDS
;16/04/2017;D;FDS
;17/04/2017;L;VAC
16/17;18/04/2017;M;VUELTA VAC
16/17;19/04/2017;X;
16/17;20/04/2017;J;
16/17;21/04/2017;V;
;22/04/2017;S;FDS
;23/04/2017;D;FDS
16/17;24/04/2017;L;
16/17;25/04/2017;M;
16/17;26/04/2017;X;
16/17;27/04/2017;J;
16/17;28/04/2017;V;
;29/04/2017;S;FDS
;30/04/2017;D;FDS
;01/05/2017;L;FEST
;02/05/2017;M;FEST
16/17;03/05/2017;X;
16/17;04/05/2017;J;
16/17;05/05/2017;V;
;06/05/2017;S;FDS
;07/05/2017;D;FDS
;08/05/2017;L;SD
;09/05/2017;M;SD
16/17;10/05/2017;X;
16/17;11/05/2017;J;
16/17;12/05/2017;V;
;13/05/2017;S;FDS
;14/05/2017;D;FDS
16/17;15/05/2017;L;
16/17;16/05/2017;M;
16/17;17/05/2017;X;
16/17;18/05/2017;J;
;19/05/2017;V;SD
;20/05/2017;S;FDS
;21/05/2017;D;FDS
16/17;22/05/2017;L;
16/17;23/05/2017;M;
16/17;24/05/2017;X;
16/17;25/05/2017;J;
16/17;26/05/2017;V;
;27/05/2017;S;FDS
;28/05/2017;D;FDS
16/17;29/05/2017;L;
16/17;30/05/2017;M;
16/17;31/05/2017;X;
16/17;01/06/2017;J;
16/17;02/06/2017;V;
;03/06/2017;S;FDS
;04/06/2017;D;FDS
16/17;05/06/2017;L;
16/17;06/06/2017;M;
16/17;07/06/2017;X;
16/17;08/06/2017;J;
16/17;09/06/2017;V;
;10/06/2017;S;FDS
;11/06/2017;D;FDS
;12/06/2017;L;SD
16/17;13/06/2017;M;
16/17;14/06/2017;X;
16/17;15/06/2017;J;
16/17;16/06/2017;V;
;17/06/2017;S;FDS
;18/06/2017;D;FDS
16/17;19/06/2017;L;
16/17;20/06/2017;M;
16/17;21/06/2017;X;
;22/06/2017;J;SD
;23/06/2017;V;VAC
;24/06/2017;S;FDS
;25/06/2017;D;FDS
;26/06/2017;L;VAC
;27/06/2017;M;VAC
;28/06/2017;X;VAC
;29/06/2017;J;VAC
;30/06/2017;V;VAC
;01/07/2017;S;FDS
;02/07/2017;D;FDS
;03/07/2017;L;VAC
;04/07/2017;M;VAC
;05/07/2017;X;
;06/07/2017;J;
;07/07/2017;V;
;08/07/2017;S;FDS
;09/07/2017;D;FDS
;10/07/2017;L;
;11/07/2017;M;
;12/07/2017;X;
;13/07/2017;J;
;14/07/2017;V;
;15/07/2017;S;FDS
;16/07/2017;D;FDS
;17/07/2017;L;
;18/07/2017;M;
;19/07/2017;X;
;20/07/2017;J;
;21/07/2017;V;
;22/07/2017;S;FDS
;23/07/2017;D;FDS
;24/07/2017;L;
;25/07/2017;M;
;26/07/2017;X;
;27/07/2017;J;
;28/07/2017;V;
;29/07/2017;S;FDS
;30/07/2017;D;FDS
;31/07/2017;L;
;01/08/2017;M;
;02/08/2017;X;
;03/08/2017;J;
;04/08/2017;V;
;05/08/2017;S;FDS
;06/08/2017;D;FDS
;07/08/2017;L;
;08/08/2017;M;
;09/08/2017;X;
;10/08/2017;J;
;11/08/2017;V;
;12/08/2017;S;FDS
;13/08/2017;D;FDS
;14/08/2017;L;
;15/08/2017;M;
;16/08/2017;X;
;17/08/2017;J;
;18/08/2017;V;
;19/08/2017;S;FDS
;20/08/2017;D;FDS
;21/08/2017;L;
;22/08/2017;M;
;23/08/2017;X;
;24/08/2017;J;
;25/08/2017;V;
;26/08/2017;S;FDS
;27/08/2017;D;FDS
;28/08/2017;L;
;29/08/2017;M;
;30/08/2017;X;
;31/08/2017;J;
;01/09/2017;V;
;02/09/2017;S;FDS
;03/09/2017;D;FDS
;04/09/2017;L;
;05/09/2017;M;
;06/09/2017;X;
;07/09/2017;J;
;08/09/2017;V;
;09/09/2017;S;FDS
;10/09/2017;D;FDS
;11/09/2017;L;SD
17/18;12/09/2017;M;
17/18;13/09/2017;X;
17/18;14/09/2017;J;
17/18;15/09/2017;V;
;16/09/2017;S;FDS
;17/09/2017;D;FDS
17/18;18/09/2017;L;
17/18;19/09/2017;M;
17/18;20/09/2017;X;
17/18;21/09/2017;J;
17/18;22/09/2017;V;
;23/09/2017;S;FDS
;24/09/2017;D;FDS
17/18;25/09/2017;L;
17/18;26/09/2017;M;
17/18;27/09/2017;X;
17/18;28/09/2017;J;
17/18;29/09/2017;V;
;30/09/2017;S;FDS
;01/10/2017;D;FDS
17/18;02/10/2017;L;
17/18;03/10/2017;M;
17/18;04/10/2017;X;
17/18;05/10/2017;J;
17/18;06/10/2017;V;
;07/10/2017;S;FDS
;08/10/2017;D;FDS
17/18;09/10/2017;L;
17/18;10/10/2017;M;
17/18;11/10/2017;X;
;12/10/2017;J;FEST
;13/10/2017;V;NL
;14/10/2017;S;FDS
;15/10/2017;D;FDS
17/18;16/10/2017;L;
17/18;17/10/2017;M;
17/18;18/10/2017;X;
17/18;19/10/2017;J;
17/18;20/10/2017;V;
;21/10/2017;S;FDS
;22/10/2017;D;FDS
17/18;23/10/2017;L;
17/18;24/10/2017;M;
17/18;25/10/2017;X;
17/18;26/10/2017;J;
17/18;27/10/2017;V;
;28/10/2017;S;FDS
;29/10/2017;D;FDS
17/18;30/10/2017;L;
17/18;31/10/2017;M;
;01/11/2017;X;FEST
17/18;02/11/2017;J;
17/18;03/11/2017;V;
;04/11/2017;S;FDS
;05/11/2017;D;FDS
17/18;06/11/2017;L;
17/18;07/11/2017;M;
17/18;08/11/2017;X;
17/18;09/11/2017;J;
17/18;10/11/2017;V;
;11/11/2017;S;FDS
;12/11/2017;D;FDS
17/18;13/11/2017;L;
17/18;14/11/2017;M;
17/18;15/11/2017;X;
17/18;16/11/2017;J;
17/18;17/11/2017;V;
;18/11/2017;S;FDS
;19/11/2017;D;FDS
17/18;20/11/2017;L;
17/18;21/11/2017;M;
17/18;22/11/2017;X;
17/18;23/11/2017;J;
17/18;24/11/2017;V;
;25/11/2017;S;FDS
;26/11/2017;D;FDS
17/18;27/11/2017;L;
17/18;28/11/2017;M;
17/18;29/11/2017;X;
17/18;30/11/2017;J;
;01/12/2017;V;SD
;02/12/2017;S;FDS
;03/12/2017;D;FDS
17/18;04/12/2017;L;
17/18;05/12/2017;M;
;06/12/2017;X;FEST
;07/12/2017;J;NL
;08/12/2017;V;FEST
;09/12/2017;S;FDS
;10/12/2017;D;FDS
17/18;11/12/2017;L;
17/18;12/12/2017;M;
17/18;13/12/2017;X;
17/18;14/12/2017;J;
17/18;15/12/2017;V;
;16/12/2017;S;FDS
;17/12/2017;D;FDS
17/18;18/12/2017;L;
;19/12/2017;M;SD
17/18;20/12/2017;X;
17/18;21/12/2017;J;
17/18;22/12/2017;V;VISP VAC
;23/12/2017;S;FDS
;24/12/2017;D;FDS
;25/12/2017;L;VAC
;26/12/2017;M;VAC
;27/12/2017;X;VAC
;28/12/2017;J;VAC
;29/12/2017;V;VAC
;30/12/2017;S;FDS
;31/12/2017;D;FDS
;01/01/2018;L;VAC
;02/01/2018;M;VAC
;03/01/2018;X;VAC
;04/01/2018;J;VAC
;05/01/2018;V;VAC
;06/01/2018;S;FDS
;07/01/2018;D;FDS
17/18;08/01/2018;L;VUELTA VAC
17/18;09/01/2018;M;
17/18;10/01/2018;X;
17/18;11/01/2018;J;
17/18;12/01/2018;V;
;13/01/2018;S;FDS
;14/01/2018;D;FDS
17/18;15/01/2018;L;
17/18;16/01/2018;M;
17/18;17/01/2018;X;
17/18;18/01/2018;J;
17/18;19/01/2018;V;
;20/01/2018;S;FDS
;21/01/2018;D;FDS
17/18;22/01/2018;L;
17/18;23/01/2018;M;
17/18;24/01/2018;X;
17/18;25/01/2018;J;
17/18;26/01/2018;V;
;27/01/2018;S;FDS
;28/01/2018;D;FDS
17/18;29/01/2018;L;
17/18;30/01/2018;M;
17/18;31/01/2018;X;
17/18;01/02/2018;J;
17/18;02/02/2018;V;
;03/02/2018;S;FDS
;04/02/2018;D;FDS
17/18;05/02/2018;L;
17/18;06/02/2018;M;
17/18;07/02/2018;X;
17/18;08/02/2018;J;
17/18;09/02/2018;V;
;10/02/2018;S;FDS
;11/02/2018;D;FDS
17/18;12/02/2018;L;
17/18;13/02/2018;M;
17/18;14/02/2018;X;
;15/02/2018;J;NL
;16/02/2018;V;NL
;17/02/2018;S;FDS
;18/02/2018;D;FDS
17/18;19/02/2018;L;
17/18;20/02/2018;M;
17/18;21/02/2018;X;
17/18;22/02/2018;J;
;23/02/2018;V;SD
;24/02/2018;S;FDS
;25/02/2018;D;FDS
17/18;26/02/2018;L;
17/18;27/02/2018;M;
17/18;28/02/2018;X;
17/18;01/03/2018;J;
17/18;02/03/2018;V;
;03/03/2018;S;FDS
;04/03/2018;D;FDS
17/18;05/03/2018;L;
17/18;06/03/2018;M;
17/18;07/03/2018;X;
17/18;08/03/2018;J;
17/18;09/03/2018;V;
;10/03/2018;S;FDS
;11/03/2018;D;FDS
17/18;12/03/2018;L;
17/18;13/03/2018;M;
17/18;14/03/2018;X;
17/18;15/03/2018;J;
17/18;16/03/2018;V;
;17/03/2018;S;FDS
;18/03/2018;D;FDS
17/18;19/03/2018;L;
17/18;20/03/2018;M;
17/18;21/03/2018;X;
