4;4;288,5309;0;4;5;2149;4;3;1930;4;2;1643;4;1;1424;0;7;2444
4;5;284,668;87,73804;0;6;2444;4;4;2149;4;3;1930;4;2;1643;4;1;1444
0;6;285,4117;1,430511;0;7;1444;4;5;2444;4;4;2149;4;3;1930;4;2;2431
0;7;288,5392;0;4;1;2431;0;6;1444;4;5;2444;4;4;2149;4;3;2755
4;1;291,9355;0;6;2;2755;0;7;2431;0;6;1444;4;5;2444;4;4;1888
6;2;290,0906;3,33786;7;3;1888;4;1;2755;0;7;2431;0;6;1444;4;5;2192
7;3;287,4649;23,36502;7;4;2192;6;2;1888;4;1;2755;0;7;2431;0;6;2142
7;4;289,3981;0;7;5;2142;7;3;2192;6;2;1888;4;1;2755;0;7;2282
7;5;291,5356;1017,57;0;6;2282;7;4;2142;7;3;2192;6;2;1888;4;1;2252
0;6;284,7526;207,901;0;7;2252;7;5;2282;7;4;2142;7;3;2192;6;2;999
0;7;287,9835;176,4297;7;1;999;0;6;2252;7;5;2282;7;4;2142;7;3;1818
7;1;280,9324;533,1039;7;2;1818;0;7;999;0;6;2252;7;5;2282;7;4;1899
7;2;282,6492;2010,345;7;3;1899;7;1;1818;0;7;999;0;6;2252;7;5;1850
7;3;285,0101;17,16614;7;4;1850;7;2;1899;7;1;1818;0;7;999;0;6;1763
7;4;286,3452;67,23404;7;5;1763;7;3;1850;7;2;1899;7;1;1818;0;7;1666
7;5;286,0962;39,57748;0;6;1666;7;4;1763;7;3;1850;7;2;1899;7;1;1799
0;6;288,9981;37,1933;0;7;1799;7;5;1666;7;4;1763;7;3;1850;7;2;2407
0;7;290,8145;1,907349;7;1;2407;0;6;1799;7;5;1666;7;4;1763;7;3;1775
7;1;289,2681;2,384186;7;2;1775;0;7;2407;0;6;1799;7;5;1666;7;4;1882
7;2;291,8666;0;7;3;1882;7;1;1775;0;7;2407;0;6;1799;7;5;1906
7;3;296,131;0;7;4;1906;7;2;1882;7;1;1775;0;7;2407;0;6;1954
7;4;295,2299;0;7;5;1954;7;3;1906;7;2;1882;7;1;1775;0;7;1985
7;5;292,9622;0;0;6;1985;7;4;1954;7;3;1906;7;2;1882;7;1;1900
0;6;292,4304;0;0;7;1900;7;5;1985;7;4;1954;7;3;1906;7;2;2411
0;7;295,3588;0;7;1;2411;0;6;1900;7;5;1985;7;4;1954;7;3;2434
7;1;295,628;0;7;2;2434;0;7;2411;0;6;1900;7;5;1985;7;4;2137
7;2;298,0177;22,41135;7;3;2137;7;1;2434;0;7;2411;0;6;1900;7;5;2173
7;3;299,6421;1,907349;7;4;2173;7;2;2137;7;1;2434;0;7;2411;0;6;2211
7;4;297,4518;0;7;5;2211;7;3;2173;7;2;2137;7;1;2434;0;7;2273
7;5;297,0408;0;0;6;2273;7;4;2211;7;3;2173;7;2;2137;7;1;2246
0;6;291,282;0;0;7;2246;7;5;2273;7;4;2211;7;3;2173;7;2;2192
0;7;285,8964;92,02957;2;1;2192;0;6;2246;7;5;2273;7;4;2211;7;3;2219
2;1;285,9853;163,0783;1;2;2219;0;7;2192;0;6;2246;7;5;2273;7;4;1454
1;2;286,9539;33,3786;1;3;1454;2;1;2219;0;7;2192;0;6;2246;7;5;1308
1;3;290,2955;0;7;4;1308;1;2;1454;2;1;2219;0;7;2192;0;6;2929
7;4;292,4702;73,43292;7;5;2929;1;3;1308;1;2;1454;2;1;2219;0;7;534
7;5;291,8438;0;0;6;534;7;4;2929;1;3;1308;1;2;1454;2;1;1183
0;6;295,4576;0;0;7;1183;7;5;534;7;4;2929;1;3;1308;1;2;2413
0;7;295,7212;0;7;1;2413;0;6;1183;7;5;534;7;4;2929;1;3;2622
7;1;296,2344;2,861023;7;2;2622;0;7;2413;0;6;1183;7;5;534;7;4;1936
7;2;298,4052;11,44409;3;3;1936;7;1;2622;0;7;2413;0;6;1183;7;5;1738
3;3;297,7997;44,82269;7;4;1738;7;2;1936;7;1;2622;0;7;2413;0;6;1978
7;4;295,3836;17,16614;7;5;1978;3;3;1738;7;2;1936;7;1;2622;0;7;2137
7;5;296,7329;6,67572;0;6;2137;7;4;1978;3;3;1738;7;2;1936;7;1;2082
0;6;293,5985;0,9536743;0;7;2082;7;5;2137;7;4;1978;3;3;1738;7;2;2545
0;7;290,38;0;7;1;2545;0;6;2082;7;5;2137;7;4;1978;3;3;2424
7;1;291,4833;15,73563;7;2;2424;0;7;2545;0;6;2082;7;5;2137;7;4;896
7;2;294,1034;0;7;3;896;7;1;2424;0;7;2545;0;6;2082;7;5;2071
7;3;296,4569;0;7;4;2071;7;2;896;7;1;2424;0;7;2545;0;6;886
7;4;296,4713;4,291534;7;5;886;7;3;2071;7;2;896;7;1;2424;0;7;611
7;5;294,475;27,17972;0;6;611;7;4;886;7;3;2071;7;2;896;7;1;444
0;6;296,3012;8,583069;0;7;444;7;5;611;7;4;886;7;3;2071;7;2;2438
0;7;293,2852;5,722046;7;1;2438;0;6;444;7;5;611;7;4;886;7;3;2471
7;1;295,7354;19,07349;7;2;2471;0;7;2438;0;6;444;7;5;611;7;4;1370
7;2;296,8356;19,07349;7;3;1370;7;1;2471;0;7;2438;0;6;444;7;5;1467
7;3;299,0585;16,21246;7;4;1467;7;2;1370;7;1;2471;0;7;2438;0;6;1638
7;4;298,5972;50,54474;7;5;1638;7;3;1467;7;2;1370;7;1;2471;0;7;1877
7;5;292,0819;320,4346;0;6;1877;7;4;1638;7;3;1467;7;2;1370;7;1;1765
0;6;294,4743;32,42493;0;7;1765;7;5;1877;7;4;1638;7;3;1467;7;2;1623
0;7;297,2961;21,93451;7;1;1623;0;6;1765;7;5;1877;7;4;1638;7;3;1674
7;1;293,8914;337,6007;7;2;1674;0;7;1623;0;6;1765;7;5;1877;7;4;1715
7;2;293,0847;117,7788;7;3;1715;7;1;1674;0;7;1623;0;6;1765;7;5;1731
7;3;291,9536;59,12781;7;4;1731;7;2;1715;7;1;1674;0;7;1623;0;6;1702
7;4;295,182;0;7;5;1702;7;3;1731;7;2;1715;7;1;1674;0;7;1689
7;5;296,3229;30,51758;0;6;1689;7;4;1702;7;3;1731;7;2;1715;7;1;1702
0;6;295,2977;9,536743;0;7;1702;7;5;1689;7;4;1702;7;3;1731;7;2;1708
0;7;296,0065;13,35144;7;1;1708;0;6;1702;7;5;1689;7;4;1702;7;3;1706
7;1;291,7416;31,47125;7;2;1706;0;7;1708;0;6;1702;7;5;1689;7;4;1701
7;2;292,129;17,16614;7;3;1701;7;1;1706;0;7;1708;0;6;1702;7;5;1701
7;3;292,6414;97,27478;7;4;1701;7;2;1701;7;1;1706;0;7;1708;0;6;1704
7;4;297,1148;0;7;5;1704;7;3;1701;7;2;1701;7;1;1706;0;7;1704
7;5;293,4859;64,84985;0;6;1704;7;4;1704;7;3;1701;7;2;1701;7;1;1703
0;6;294,2706;42,91534;0;7;1703;7;5;1704;7;4;1704;7;3;1701;7;2;1703
0;7;292,9948;59,12781;7;1;1703;0;6;1703;7;5;1704;7;4;1704;7;3;1703
7;1;293,3374;159,2636;7;2;1703;0;7;1703;0;6;1703;7;5;1704;7;4;1703
7;2;297,0245;46,2532;7;3;1703;7;1;1703;0;7;1703;0;6;1703;7;5;1703
7;3;297,7724;0;7;4;1703;7;2;1703;7;1;1703;0;7;1703;0;6;638
7;4;297,8017;0;7;5;638;7;3;1703;7;2;1703;7;1;1703;0;7;649
